,population,income,house_value,rent,tract,unemployment,poverty
416,871,27882,264800,722,08053973100,0.04,0.07
417,5452,24056,152000,789,08041005000,0.11,0.14
418,3315,48413,360900,1316,08059012059,0.03,0.07
419,3127,35194,195700,1213,08059012060,0.11,0.05
420,3709,34181,215400,1034,08059015800,0.06,0.1
421,3456,31339,301700,1063,08059015900,0.07,0.09
422,751,37750,254100,995,08123002005,0.06,0.0
423,366,30625,442900,-666666666,08123002006,0.07,0.0
424,5746,43693,343800,1672,08123002007,0.06,0.03
425,4896,47475,354500,1442,08123002008,0.04,0.02
426,1342,38750,382200,1667,08123002009,0.05,0.04
427,2373,25785,137100,1324,08123002010,0.18,0.22
428,5143,34756,283200,1341,08005005635,0.11,0.05
429,1884,85107,1000001,-666666666,08005005636,0.04,0.02
430,5008,19043,138200,791,08077000602,0.13,0.25
431,4618,39971,350000,1190,08077001404,0.08,0.06
432,3431,23457,171000,926,08077000400,0.08,0.16
433,3095,6098,168200,612,08077000500,0.16,0.16
434,2547,25732,184500,1128,08077000900,0.07,0.16
435,4414,28899,266200,1077,08077001001,0.02,0.07
436,3573,36129,295300,1093,08069001113,0.09,0.07
437,2519,15694,10300,674,08069001304,0.13,0.31
438,5330,25097,227500,1022,08069001603,0.08,0.1
439,5186,30627,173700,970,08069002005,0.08,0.09
440,5250,31929,221400,835,08069002700,0.1,0.08
441,2229,16534,246700,805,08069000100,0.06,0.31
442,5718,24558,217000,945,08069001104,0.05,0.14
443,5209,30313,190900,1060,08069001707,0.09,0.18
444,3781,36736,324300,938,08069001903,0.08,0.08
445,1972,24368,270600,1107,08069001008,0.07,0.12
446,4204,27620,268400,911,08069001301,0.08,0.13
447,8301,28348,178600,846,08069001704,0.09,0.15
448,2932,32753,320500,1275,08069000300,0.06,0.13
449,5421,22679,221900,1130,08069001107,0.11,0.18
450,4002,32192,509000,1014,08045951802,0.07,0.03
451,3741,34497,312900,844,08051963600,0.07,0.11
452,966,25242,353300,850,08051963900,0.06,0.12
453,6208,13865,218400,823,08051963700,0.11,0.29
454,2581,38970,356100,1737,08069001010,0.02,0.02
455,3060,27013,238500,923,08083969200,0.09,0.15
456,5053,23954,166200,862,08083969600,0.1,0.15
457,3260,21533,250400,844,08083969000,0.08,0.18
458,5280,23676,165600,589,08083969300,0.1,0.15
459,8097,37117,161400,1599,08031008391,0.05,0.04
460,3404,36431,261400,798,08031015300,0.06,0.13
461,4364,24949,232900,938,08031015400,0.08,0.15
462,3377,23281,290600,824,08031015500,0.08,0.2
463,6375,16953,161200,681,08031015600,0.16,0.39
464,5798,21196,229000,901,08031015700,0.08,0.13
