,population,income,house_value,rent,state_code,county_code,tract,unemployment,poverty
1215,6638,41250,411200,1446,08,059,011726,0.04,0.06
1216,3646,41250,338600,1709,08,059,011727,0.03,0.06
1217,2107,41313,254600,1774,08,059,012046,0.05,0.07
1218,1925,49306,291100,1871,08,059,009829,0.03,0.04
1219,2356,47969,353600,-666666666,08,059,009839,0.04,0.02
1220,3075,50667,467700,1725,08,059,009847,0.06,0.06
1221,5043,30844,246700,1228,08,059,010213,0.05,0.13
1222,2356,34583,325200,1583,08,059,009841,0.02,0.06
1223,6215,38292,349600,1395,08,059,009827,0.03,0.08
1224,3937,70365,623300,-666666666,08,059,009837,0.02,0.01
1225,3828,46793,487800,1748,08,059,009806,0.04,0.03
1226,5249,48172,380200,1654,08,059,009815,0.03,0.04
1227,4057,48665,421200,1429,08,059,009836,0.01,0.03
1228,7747,54576,479400,1469,08,059,009843,0.02,0.05
1229,4067,73682,638100,1705,08,059,009845,0.04,0.04
1230,4471,61897,535000,2079,08,059,009846,0.03,0.04
1231,3738,43686,342800,1201,08,059,010210,0.04,0.07
1232,2699,40523,651200,1288,08,059,009848,0.05,0.05
1233,4608,37301,257200,1397,08,059,010100,0.08,0.13
1234,4283,31351,251600,1136,08,059,010212,0.05,0.11
1235,2814,38452,269400,1586,08,059,010304,0.07,0.03
1236,5041,30670,272000,1040,08,059,010307,0.07,0.12
1237,4852,35551,326800,1194,08,059,010901,0.07,0.11
1238,3047,30915,304300,1119,08,059,011300,0.11,0.1
1239,4714,27751,250100,947,08,059,011602,0.03,0.23
1240,1535,32969,444300,1237,08,037,000600,0.04,0.06
1241,1597,24419,253800,768,08,037,000100,0.08,0.11
1242,5173,32397,193000,910,08,065,961700,0.04,0.11
1243,4255,31348,423900,994,08,067,970900,0.03,0.07
1244,9339,35132,292000,989,08,067,970600,0.04,0.06
1245,6073,30362,258800,990,08,067,940300,0.05,0.09
1246,7197,25259,454900,1420,08,067,970800,0.04,0.1
1247,12640,72731,536900,1826,08,031,004106,0.04,0.02
1248,9123,64335,474200,1547,08,031,004107,0.01,0.04
