,2014_med,2015_med,2016_med,2017_med,2018_med,2019_med,2020_med,2021_med,2014_rec,2015_rec,2016_rec,2017_rec,2018_rec,2019_rec,2020_rec,2021_rec,total
303,0.0,12.0,24.0,36.0,48.0,60.0,72.0,81.0,0.0,12.0,24.0,36.0,48.0,60.0,72.0,81.0,162.0
3001,0.0,12.0,31.0,79.0,105.0,129.0,153.0,172.0,,,,,,,,,
10403,0.0,2.0,14.0,26.0,38.0,50.0,62.0,74.0,0.0,0.0,12.0,24.0,36.0,48.0,60.0,72.0,146.0
3105,0.0,0.0,12.0,24.0,36.0,41.0,,,,0.0,12.0,24.0,36.0,41.0,,51.0,92.0
15100,0.0,,,,,,,,,,,,,,,,
3902,0.0,12.0,20.0,,,,,,0.0,12.0,15.0,,,22.0,28.0,40.0,60.0
6300,0.0,12.0,24.0,36.0,48.0,60.0,72.0,84.0,0.0,12.0,24.0,36.0,48.0,60.0,72.0,84.0,168.0
1104,12.0,64.0,112.0,139.0,147.0,159.0,171.0,178.0,,,,,,,,,
504,0.0,12.0,24.0,36.0,48.0,60.0,72.0,73.0,0.0,12.0,24.0,36.0,48.0,60.0,72.0,73.0,146.0
974202,0.0,12.0,17.0,20.0,32.0,44.0,56.0,66.0,0.0,12.0,17.0,20.0,32.0,44.0,56.0,66.0,132.0
3706,0.0,12.0,36.0,60.0,84.0,98.0,107.0,109.0,,,,,,,,,
6100,0.0,12.0,24.0,36.0,40.0,,,,,,,,,,,,
978600,0.0,,,,,,,,,,,,,,,,
6200,0.0,0.0,12.0,24.0,36.0,43.0,51.0,72.0,,,,,,,,,
3004,0.0,12.0,24.0,36.0,48.0,60.0,72.0,84.0,0.0,12.0,24.0,36.0,48.0,60.0,72.0,84.0,168.0
5114,0.0,12.0,24.0,36.0,48.0,60.0,72.0,84.0,,,,,,,,,
3102,0.0,12.0,24.0,36.0,48.0,60.0,72.0,84.0,0.0,12.0,24.0,36.0,48.0,60.0,72.0,84.0,168.0
4310,0.0,,,,,,,,0.0,,,,,,,,0.0
904,0.0,12.0,24.0,36.0,48.0,60.0,72.0,84.0,0.0,12.0,24.0,36.0,48.0,60.0,72.0,84.0,168.0
503,0.0,12.0,24.0,36.0,48.0,60.0,72.0,84.0,0.0,12.0,24.0,36.0,48.0,60.0,72.0,84.0,168.0
4403,,0.0,15.0,39.0,63.0,87.0,111.0,135.0,,0.0,15.0,39.0,63.0,87.0,111.0,135.0,270.0
4701,,0.0,12.0,24.0,36.0,48.0,60.0,67.0,,,,,,,,,
969100,,0.0,12.0,24.0,36.0,48.0,51.0,,0.0,0.0,21.0,33.0,61.0,97.0,124.0,153.0,204.0
2200,,0.0,9.0,23.0,35.0,47.0,59.0,71.0,,,,,,,,,
3500,,0.0,,,,,,,,,,3.0,15.0,27.0,39.0,50.0,50.0
3104,,0.0,12.0,24.0,36.0,48.0,60.0,71.0,,0.0,12.0,24.0,36.0,48.0,60.0,71.0,142.0
3906,,0.0,12.0,24.0,36.0,48.0,69.0,83.0,,,,,,,,,
5201,,0.0,3.0,15.0,27.0,39.0,51.0,63.0,,,,,,,,,
6600,,0.0,12.0,24.0,36.0,48.0,60.0,71.0,,,,,,,,,
5004,,0.0,24.0,48.0,71.0,82.0,82.0,94.0,,0.0,24.0,48.0,71.0,82.0,82.0,95.0,189.0
9320,,0.0,6.0,18.0,30.0,42.0,64.0,81.0,,,3.0,15.0,27.0,39.0,61.0,78.0,159.0
101,,0.0,12.0,24.0,36.0,48.0,60.0,71.0,,0.0,12.0,24.0,36.0,51.0,75.0,98.0,169.0
15400,,0.0,12.0,17.0,21.0,33.0,45.0,59.0,,0.0,12.0,17.0,21.0,33.0,45.0,62.0,121.0
5300,,9.0,21.0,26.0,34.0,46.0,58.0,62.0,,9.0,21.0,26.0,,,,,88.0
1400,,0.0,27.0,63.0,99.0,129.0,153.0,177.0,,,,,,,,,
8308,,,,,,,,,0.0,12.0,36.0,60.0,84.0,101.0,113.0,124.0,
8355,,,,,,,,,0.0,0.0,12.0,17.0,,,23.0,32.0,
