,tract,year,rec,med,dispensary_status,match_id,population,income,house_value,rent,unemployment,poverty
226,8001009606,2016,12.0,0.0,0.0,56.0,2773.0,20905.0,187800.0,868.0,0.03,0.27
227,8001009606,2017,24.0,0.0,0.0,56.0,2817.0,21692.0,197200.0,911.0,0.02,0.2
228,8001009606,2018,36.0,0.0,0.0,56.0,2627.0,24216.0,261500.0,1009.0,0.03,0.19
229,8001009606,2019,48.0,0.0,0.0,56.0,2758.0,25359.0,288200.0,1122.0,0.02,0.17
230,8001009606,2020,60.0,0.0,0.0,56.0,2706.0,25853.0,376700.0,1239.0,0.05,0.13
231,8001009606,2021,71.0,0.0,0.0,56.0,2570.0,29601.0,320300.0,1311.0,0.07,0.04
232,8001009751,2014,0.0,0.0,1.0,8.0,3807.0,21860.0,133200.0,860.0,0.1,0.25
233,8001009751,2015,0.0,0.0,1.0,8.0,3631.0,21860.0,139700.0,842.0,0.1,0.25
234,8001009751,2016,0.0,0.0,1.0,8.0,3724.0,20634.0,142600.0,870.0,0.07,0.3
235,8001009751,2017,0.0,0.0,1.0,8.0,3781.0,23998.0,179300.0,994.0,0.01,0.24
236,8001009751,2018,0.0,0.0,1.0,8.0,3807.0,22384.0,193400.0,979.0,0.01,0.26
237,8001009751,2019,8.0,0.0,1.0,8.0,3944.0,21024.0,208900.0,990.0,0.02,0.26
238,8001009751,2020,20.0,0.0,1.0,8.0,4031.0,22076.0,-666666666.0,1155.0,0.06,0.29
239,8001009751,2021,32.0,0.0,1.0,8.0,3998.0,25056.0,-666666666.0,1394.0,0.06,0.24
240,8001015000,2014,0.0,0.0,1.0,9.0,2645.0,23670.0,38100.0,989.0,0.19,0.18
241,8001015000,2015,0.0,0.0,1.0,9.0,2892.0,21719.0,37800.0,1031.0,0.16,0.18
242,8001015000,2016,15.0,3.0,1.0,9.0,2928.0,22620.0,43700.0,1074.0,0.14,0.15
243,8001015000,2017,27.0,0.0,1.0,9.0,2884.0,25445.0,35400.0,1178.0,0.07,0.2
244,8001015000,2018,39.0,0.0,1.0,9.0,2996.0,24619.0,42400.0,1290.0,0.09,0.19
245,8001015000,2019,51.0,0.0,1.0,9.0,2984.0,23046.0,-666666666.0,1322.0,0.09,0.18
246,8001015000,2020,63.0,0.0,1.0,9.0,3031.0,20542.0,120900.0,1325.0,0.09,0.26
247,8001015000,2021,70.0,0.0,1.0,9.0,3113.0,23182.0,-666666666.0,1275.0,0.11,0.2
248,8001060001,2014,0.0,0.0,0.0,160.0,3113.0,23182.0,-666666666.0,1275.0,0.11,0.2
249,8001060001,2015,0.0,0.0,0.0,160.0,3113.0,23182.0,-666666666.0,1275.0,0.11,0.2
250,8001060001,2016,0.0,0.0,0.0,160.0,3113.0,23182.0,-666666666.0,1275.0,0.11,0.2
251,8001060001,2017,0.0,0.0,0.0,160.0,3113.0,23182.0,-666666666.0,1275.0,0.11,0.2
252,8001060001,2018,0.0,0.0,0.0,160.0,3113.0,23182.0,-666666666.0,1275.0,0.11,0.2
253,8001060001,2019,0.0,0.0,0.0,160.0,3113.0,23182.0,-666666666.0,1275.0,0.11,0.2
254,8001060001,2020,0.0,0.0,0.0,160.0,2500.0,49529.0,712700.0,1651.0,0.01,0.05
