,population,income,house_value,rent,unemployment,poverty,dispensary_status,scores,match_id,record_id
1203,3478,24258,278400,1084,0.03,0.34,1,0.8345153683287007,123,1203
1204,6167,34499,331500,1457,0.04,0.13,1,0.42393728727366503,124,1204
971,4813,37162,218300,940,0.03,0.09,0,0.42378910505215683,124,971
1205,2572,32379,637500,1293,0.08,0.14,1,0.6418101773602821,125,1205
687,1466,51016,479000,1136,0.09,0.11,0,0.6422274815579972,125,687
1206,5725,36963,255700,1311,0.07,0.15,1,0.4897942262752628,126,1206
131,2984,38204,426600,1180,0.04,0.07,0,0.4898900805559689,126,131
1207,3475,45809,473100,1908,0.04,0.07,1,0.459111342087835,127,1207
1045,1343,72500,455100,1875,0.01,0.02,0,0.45923761288045784,127,1045
383,3107,56132,593800,1288,0.03,0.16,0,0.6116757726618297,128,383
1208,1791,38988,482900,1822,0.11,0.09,1,0.6111900169875153,128,1208
1209,4810,42836,421500,1156,0.04,0.13,1,0.48879938184670346,129,1209
877,6814,37880,471600,1705,0.05,0.19,0,0.48897419481551163,129,877
1210,6202,39309,398300,1439,0.01,0.15,1,0.43881955901530595,130,1210
234,4842,37248,276000,1693,0.11,0.08,0,0.43878730144449357,130,234
1211,3977,53281,298000,1574,0.05,0.08,1,0.4483242574187047,131,1211
501,2346,65352,667700,1700,0.02,0.04,0,0.4481801993024623,131,501
1212,4450,41204,407300,1393,0.08,0.19,1,0.6203397832257852,132,1212
308,1328,55000,438000,1335,0.02,0.11,0,0.6197212537566598,132,308
1213,4485,53814,418800,1245,0.04,0.11,1,0.4659344775068023,133,1213
250,3988,43958,696300,1686,0.04,0.09,0,0.46597025840647227,133,250
536,3261,17559,563200,956,0.14,0.13,0,0.6250519383205837,134,536
1214,2695,38433,529700,1314,0.1,0.13,1,0.6245288164125412,134,1214
407,5031,28291,245200,1168,0.03,0.28,0,0.7113507818580126,135,407
1215,4234,30970,369200,1047,0.09,0.24,1,0.7116323700806038,135,1215
1216,7160,34425,289300,1242,0.1,0.05,1,0.28204494639862787,136,1216
1048,5893,53250,517800,1928,0.05,0.03,0,0.28207827737031055,136,1048
1217,3902,44177,354000,1738,0.09,0.1,1,0.507288347303598,137,1217
218,4329,41437,336600,1572,0.06,0.12,0,0.5069397429673252,137,218
1218,4740,37179,466000,1286,0.04,0.16,1,0.5449787436318436,138,1218
532,2594,47270,393800,1378,0.06,0.09,0,0.5449492175965918,138,532
1219,8225,32656,342900,1312,0.04,0.13,1,0.32490472327515824,139,1219
874,3409,38646,365600,-666666666,0.07,0.06,0,0.32476012567766915,139,874
1220,2314,35650,247100,1616,0.05,0.14,1,0.6409113875046154,140,1220
687,1466,51016,479000,1136,0.09,0.11,0,0.6422274815579972,140,687
1007,2081,33659,159100,816,0.04,0.11,0,0.6038759575454339,141,1007
1222,2288,35833,181400,858,0.03,0.12,1,0.6037302120494634,141,1222
1223,1437,42515,359700,-666666666,0.05,0.03,1,0.3639556765341376,142,1223
411,3500,44052,404300,1945,0.0,0.02,0,0.3646379607970445,142,411
1224,8160,43775,382200,1780,0.01,0.09,1,0.2578767324218249,143,1224
144,5444,65718,838700,2932,0.02,0.01,0,0.25869960039545314,143,144
